school_id,school_name,country,admin1,admin2,lat,lon,urban_rural,sector,enrollment,altitude_m
108,LICEO POLITEC. JOSE GUTIERREZ DE LA FUEN,CL,TPCA,IQUIQUE,-20.2258,-70.148727,Urbano,,771,
109,COLEGIO DEPORTIVO TEC. PROF. ELENA DUVAUCHELLE CABEZON,CL,TPCA,IQUIQUE,-20.216949,-70.153381,Urbano,,906,
110,LICEO BICENTENARIO DOMINGO SANTA MARIA DE IQQ.,CL,TPCA,IQUIQUE,-20.21759,-70.146912,Urbano,,1779,
111,ESCUELA GABRIELA MISTRAL,CL,TPCA,IQUIQUE,-20.22576,-70.141502,Urbano,,686,
112,ESCUELA EDUARDO LLANOS,CL,TPCA,IQUIQUE,-20.214479,-70.135857,Urbano,,679,
113,ESCUELA ALMIRANTE PATRICIO LYNCH,CL,TPCA,IQUIQUE,-20.23204,-70.137703,Urbano,,908,
114,ESCUELA PLACIDO VILLARROEL,CL,TPCA,IQUIQUE,-20.22024,-70.144112,Urbano,,494,
115,ESCUELA JAVIERA CARRERA VERDUGO,CL,TPCA,IQUIQUE,-20.21947136,-70.1519483,Urbano,,0,
116,COLEGIO REPUBLICA DE CROACIA,CL,TPCA,IQUIQUE,-20.22728,-70.13485,Urbano,,708,
117,ESCUELA PAULA JARAQUEMADA ALQUIZAR,CL,TPCA,IQUIQUE,-20.2204,-70.146248,Urbano,,658,
119,ESCUELA CENTENARIO,CL,TPCA,IQUIQUE,-20.213511,-70.145119,Urbano,,705,
120,LICEO COM.Y TEC.ARTURO PRAT CHACON,CL,TPCA,IQUIQUE,-20.2095485,-70.14359634,Urbano,,0,
122,ESCUELA THILDA PORTILLO OLIVARES,CL,TPCA,IQUIQUE,-20.23621,-70.141006,Urbano,,310,
123,COLEGIO ESPANA,CL,TPCA,IQUIQUE,-20.239719,-70.128853,Urbano,,545,
124,LICEO LUIS CRUZ MARTINEZ,CL,TPCA,IQUIQUE,-20.241989,-70.137444,Urbano,,1164,
125,ESCUELA PROFESOR MANUEL CASTRO RAMOS,CL,TPCA,IQUIQUE,-20.245781,-70.138268,Urbano,,1078,
126,COLEGIO REPUBLICA DE ITALIA,CL,TPCA,IQUIQUE,-20.243601,-70.131493,Urbano,,649,
127,LICEO MARIA AUXILIADORA,CL,TPCA,IQUIQUE,-20.222321,-70.148376,Urbano,Privado,861,
